service_id,date,exception_type
103,20190819,1
103,20190820,1
103,20190821,1
103,20190822,1
103,20190823,1
6302,20190825,1
103,20190826,1
103,20190827,1
103,20190828,1
103,20190829,1
103,20190830,1
6302,20190901,1
6902,20190902,1
2,20190902,1
3,20190902,2
103,20190903,1
103,20190904,1
203,20190905,1
203,20190906,1
6302,20190908,1
203,20190909,1
203,20190910,1
203,20190911,1
203,20190912,1
203,20190913,1
6302,20190915,1
203,20190916,1
203,20190917,1
203,20190918,1
203,20190919,1
203,20190920,1
6302,20190922,1
203,20190923,1
203,20190924,1
203,20190925,1
203,20190926,1
103,20190927,1
6302,20190929,1
203,20190930,1
203,20191001,1
203,20191002,1
203,20191003,1
203,20191004,1
6302,20191006,1
203,20191007,1
203,20191008,1
203,20191009,1
203,20191010,1
203,20191011,1
6302,20191013,1
6902,20191014,1
2,20191014,1
3,20191014,2
203,20191015,1
203,20191016,1
203,20191017,1
203,20191018,1
6302,20191020,1
203,20191021,1
203,20191022,1
203,20191023,1
203,20191024,1
103,20191025,1
6302,20191027,1
203,20191028,1
203,20191029,1
203,20191030,1
203,20191031,1
203,20191101,1
6302,20191103,1
203,20191104,1
203,20191105,1
203,20191106,1
203,20191107,1
203,20191108,1
6302,20191110,1
6902,20191111,1
2,20191111,1
3,20191111,2
203,20191112,1
203,20191113,1
203,20191114,1
203,20191115,1
6302,20191117,1
203,20191118,1
203,20191119,1
203,20191120,1
203,20191121,1
203,20191122,1
6302,20191124,1
